Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
192080,KR7192080000,더블유게임즈,KOSPI,,52500,1,1600,3.14,51400,52800,50700,66235,3455373950,1128535065000,21495906,STK
082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,26350,1,3050,13.09,23200,26500,22950,654616,16722242100,1124628250150,42680389,KSQ
089860,KR7089860001,롯데렌탈,KOSPI,,30650,1,50,0.16,30350,30700,30100,57782,1755411675,1112882742200,36309388,STK
075580,KR7075580001,세진중공업,KOSPI,,19440,1,560,2.97,19110,19660,19100,415585,8077998910,1105153424640,56849456,STK
082640,KR7082640004,동양생명,KOSPI,,6830,1,130,1.94,6700,6860,6650,167469,1135475190,1102079135550,161358585,STK
115180,KR7115180002,큐리언트,KOSDAQ,벤처기업부,29450,1,3500,13.49,26750,30300,26400,403453,11614338025,1095300483150,37191867,KSQ
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,70500,1,2600,3.83,75000,75000,67200,753575,52797709900,1091381806500,15480593,KSQ
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,4385,3,0,0.0,4400,4405,4365,313584,1373598813,1079100265000,246089000,STK
161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,46000,2,-50,-0.11,46000,46000,44400,589139,26652576150,1076526362000,23402747,KSQ
012630,KR7012630000,HDC,KOSPI,,18000,1,1300,7.78,16800,18760,16800,395942,7135480305,1075350978000,59741721,STK
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,54300,1,900,1.69,54400,57700,52700,358789,19690785550,1073927698200,19777674,KSQ
295310,KR7295310007,에이치브이엠,KOSDAQ,기술성장기업부,90100,1,6800,8.16,86600,93100,81200,620315,55060574200,1072363983100,11901931,KSQ
009240,KR7009240003,한샘,KOSPI,,45450,1,1350,3.06,44100,45900,44050,53233,2397498200,1069617027600,23533928,STK
056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,28450,2,-7750,-21.41,36700,38450,26800,5531637,186741686475,1067220724400,37512152,KSQ
280360,KR7280360009,롯데웰푸드,KOSPI,,114600,1,2100,1.87,112500,115300,111900,30190,3442190450,1066304180400,9304574,STK
131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,54500,1,600,1.11,54300,55700,52400,446786,24203075550,1053334471000,19327238,KSQ
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,21250,0,0,0.0,0,0,0,0,0,1051732476250,49493293,KSQ
006650,KR7006650006,대한유화,KOSPI,,160200,1,3700,2.36,159900,166200,156900,61262,9880908000,1041300000000,6500000,STK
137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,43950,3,0,0.0,46500,46500,42250,667347,29209184425,1041207495600,23690728,KSQ
183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,99500,1,1700,1.74,97800,100500,95900,155304,15314913450,1040838058000,10460684,KSQ
001740,KR7001740000,SK네트웍스,KOSPI,,4695,2,-15,-0.32,4710,4755,4625,499834,2337309963,1038899749890,221277902,STK
376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,66300,1,1500,2.31,63700,66800,63000,255023,16623923450,1038356720700,15661489,KSQ
080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,29950,1,700,2.39,30050,30800,29300,1172390,35125665675,1031562848350,34442833,KSQ
079160,KR7079160008,CJ CGV,KOSPI,,6200,1,20,0.32,6250,6270,6120,454085,2805128915,1026605647200,165581556,STK
181710,KR7181710005,NHN,KOSPI,,31300,1,1500,5.03,30000,31600,29800,95441,2963344850,1025173250700,32753139,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,8400,1,180,2.19,8190,8450,8160,153755,1278793935,1022692456800,121749102,STK
030190,KR7030190003,NICE평가정보,KOSPI,,17240,1,390,2.31,16890,17280,16860,77642,1332898765,1015634725480,58911527,STK
064960,KR7064960008,SNT모티브,KOSPI,,38000,3,0,0.0,39500,39800,37450,234274,8972364175,1008530336000,26540272,STK
000670,KR7000670000,영풍,KOSPI,,55700,1,1400,2.58,54100,57000,54100,60955,3407624000,1006941815000,18077950,STK
347700,KR7347700007,스피어,KOSDAQ,기술성장기업부,21550,1,2300,11.95,19910,24000,19500,7900187,174260216490,1005586874200,46662964,KSQ
298050,KR7298050006,HS효성첨단소재,KOSPI,,219500,1,2500,1.15,219000,221000,212000,32029,6937985000,983348586000,4479948,STK
192400,KR7192400000,쿠쿠홀딩스,KOSPI,,27400,1,100,0.37,27000,27800,27000,41658,1144236950,974403869000,35562185,STK
00088K,KR700088K015,한화3우B,KOSPI,,49950,1,1350,2.78,49200,51000,49000,49824,2483536775,969251827950,19404441,STK
